sentence1,sentence2,similarity_score,split
Un chien en noir et blanc qui regarde la caméra.,Une petite chèvre en noir et blanc dans un enclos qui regarde la caméra.,1.399999976158142,train
Une table noire avec une chaise blanche floue.,Une femme avec son enfant.,0.0,train
Bus rouge à deux étages accueillant des passagers.,Un bus rouge à deux étages descendant une rue.,2.200000047683716,train
Un voilier qui navigue sur l'eau.,Voilier naviguant par temps nuageux.,3.4000000953674316,train
Un oiseau bleu est perché sur la main gantée d'une personne.,Un oiseau est perché sur la main gantée d'une personne.,4.199999809265137,train
Une fille sur un cheval brun et blanc.,Une fille sur un cheval brun.,3.5999999046325684,train
Un train essentiellement noir sur une voie.,Une voiture garée devant les voies ferrées.,1.0,train
Un jeune garçon coloriant avec un crayon rouge et bleu.,Une jeune fille blonde en tenue d'équitation est assise sur un cheval gris et blanc.,0.0,train
Un groupe de personnes dans un salon.,Un groupe de quatre personnes marchant devant un champignon géant.,0.800000011920929,train
Un colvert et un canard blanc apprivoisé sur l'herbe près de l'eau.,Un petit enfant en robe rose est assis sur une table.,0.0,train
Le chat est assis entre deux vélos devant une porte.,Que le cheval qui se tient dans un champ devant une clôture.,0.0,train
Une fille avec un sac rouge dans la rue.,Un chien noir fixe un mouton.,0.0,train
Un cavalier monte un cheval blanc.,Une femme à la tête d'un cheval blanc.,3.4000000953674316,train
Un long train est sur les rails.,Un train sur les rails.,4.199999809265137,train
Un chien noir et feu regarde un mouton noir.,Un chien noir qui regarde un mouton brun dans un enclos.,3.0,train
Une salle avec plusieurs ordinateurs et des tableaux au mur.,Un bureau à domicile avec trois écrans d'ordinateur et d'autres équipements sur un bureau.,2.799999952316284,train
Une photo en noir et blanc d'une vache marchant sous un arbre dans un champ.,Un chien en noir et blanc qui regarde la caméra.,1.0,train
Un Jet Liner AreoMexico en argent posé sur le tarmac.,Un avion argenté d'Aeromexico est sur une piste.,4.199999809265137,train
un homme sur une moto tout terrain qui saute très haut.,Un homme sur une moto qui saute avec le ciel derrière lui.,3.4000000953674316,train
Deux personnes naviguant sur un petit voilier blanc.,Couple naviguant dans un petit voilier.,4.199999809265137,train
Un avion blanc est garé sur le ciment.,Une moto bleue est garée sur le trottoir.,0.800000011920929,train
Trois vaches qui paissent dans un champ.,Plusieurs moutons paissent dans le champ.,0.800000011920929,train
L'homme est assis à une table en désordre et utilise un ordinateur portable.,Un homme est assis sur une table en désordre et regarde un ordinateur portable.,4.800000190734863,train
"Une table à manger avec des bougies, du vin et une théière.","Une table en bois est dressée avec des bougies, du vin et un bol en plastique violet.",3.0,train
Deux personnes pagayant dans un canoë rouge se reflètent dans l'eau calme.,Deux personnes dans un canoë rouge sur un lac clair.,3.200000047683716,train
Une femme peu vêtue se tient à côté d'une voiture.,"Une femme légèrement vêtue, debout à côté d'un petit véhicule rouge.",3.799999952316284,train
Bus rouge à deux étages accueillant des passagers.,Bus rouge à deux étages avec capot relevé.,2.200000047683716,train
Une statue de Bouddha tenant une bougie est assise sur une table.,Un homme qui pêche sur un petit bateau alors qu'il se trouve sur un lac.,0.0,train
Trois personnes assises à table et souriant devant la caméra.,Deux femmes âgées sont assises à une table de dîner avec un homme.,2.0,train
Un train multicolore sur une voie.,Un train essentiellement noir sur une voie.,2.799999952316284,train
Un bus blanc et rouge circulant dans la rue.,Le bus rouge est dans la rue.,2.200000047683716,train
Un avion rouge et bleu volant avec ses trains d'atterrissage baissés.,Un avion de chasse de la Seconde Guerre mondiale avec son train d'atterrissage sorti.,3.200000047683716,train
Petit bateau descendant une crique.,un bateau se déplaçant sur une rivière.,3.0,train
Quatre femmes et deux hommes sont assis à une longue table dans un restaurant.,Un groupe de personnes est assis à une table dans un restaurant italien.,3.0,train
Deux chèvres debout dans un champ près d'un arbre.,Un grand bateau tirant un petit bateau blanc.,0.0,train
"Une photo en noir et blanc d'un salon avec une grande fenêtre, un canapé et une chaise.",Une scène en noir et blanc d'une chambre bien meublée avec vue sur une forêt.,3.0,train
Gros plan d'un cheval brun au licol bleu.,Gros plan d'un cheval portant un licou bleu.,3.5999999046325684,train
Un grand oiseau noir est assis dans l'eau.,Les oiseaux nagent dans l'eau.,2.5999999046325684,train
Gros plan d'un chat sur un canapé crème.,Un chat siamois qui se repose sur un canapé blanc.,3.4000000953674316,train
Une personne saute sur un vélo et exécute un tour.,Une personne qui conduit un vélo tout terrain en plein air.,2.25,train
Un bus scolaire jaune est garé dans une zone rurale.,Un bus scolaire jaune garé dans un champ.,4.0,train
Un chien carlin s'assoit sur une chaise jaune à côté d'une benne à ordures verte.,Un bulldog assis sur une chaise jaune à côté d'une grande poubelle.,3.200000047683716,train
La femme est assise sur la moto rouge.,Le mouton blanc se tient sur la colline verte.,0.0,train
Un mouton debout sur une table lors d'une vente aux enchères.,Mouton laineux à la maison de vente aux enchères.,4.199999809265137,train
Gros plan d'une locomotive de train noire.,Gros plan d'un mouton blanc à tête noire.,0.0,train
Un chat orange et blanc endormi sur une chaise en cuir.,Un chat orange et blanc allongé sur une couverture dans un fauteuil en cuir noir.,4.0,train
un train circule sur ses rails.,"Le train descend la voie, entre deux rangées d'arbres.",3.0,train
Vache noire et blanche debout dans un champ herbeux.,Une vache à cornes noires et blanches debout dans un champ.,3.799999952316284,train
Un bus United rouge à deux étages dans une rue de la ville.,Un bus à deux étages circule dans une rue de la ville.,4.0,train
La télévision et le bureau de la chambre d'hôtel avec l'éclairage de la lampe.,Une télévision et un ordinateur portable sont allumés dans une chambre d'hôtel.,2.5999999046325684,train
Un homme à bicyclette.,Un homme fait un wheelie sur un vélo.,2.799999952316284,train
Une femme portant une robe de la marine coupe un gâteau sur une table blanche.,Une personne portant un casque est assise sur un vélo par une journée ensoleillée.,0.4000000059604645,train
Un train noir descend les rails.,Un train qui circule sur les rails.,4.0,train
Un gros plan d'une moto blanche et violette.,Gros plan d'un bureau avec un ordinateur et des papiers dessus.,1.0,train
Une jeune fille sur un cheval brun.,Une femme à cheval sur un cheval brun.,3.799999952316284,train
Deux femmes dans la cuisine regardent un objet.,Trois hommes en costume assis à une table.,0.0,train
Deux femmes posent avec un bébé.,Une femme pose avec un bébé.,2.200000047683716,train
Un groupe de personnes assises autour d'une table contenant de la nourriture.,Quatre personnes sont assises autour d'un salon avec des .snacks.,2.799999952316284,train
Une moto bleue est garée sur le trottoir.,Une mobylette bleue garée sur le trottoir.,4.0,train
Un bus rouge à deux étages dans une rue de la ville.,Un bus rouge à deux étages descendant une rue.,4.800000190734863,train
Deux trains dans une gare.,Le train s'arrête à la gare.,2.4000000953674316,train
Un homme monté sur un cheval blanc.,Une femme avec un cheval blanc.,2.200000047683716,train
Un homme et deux femmes sourient à la caméra alors qu'ils sont assis sur un canapé bleu.,Un homme et des femmes sourient à la caméra alors qu'ils se trouvent dans une cuisine.,2.200000047683716,train
Un grand bateau de croisière dans le port avec des arbres derrière.,Un bateau de croisière a accosté sur une côte.,3.4000000953674316,train
Deux vaches traversant une intersection de routes.,Deux vaches traversent une rue pavée.,3.799999952316284,train
Plusieurs vaches paissent sur le terre-plein central au bord de la route.,Cinq vaches paissant sur une parcelle d'herbe entre deux routes.,4.0,train
Une vache noire et une vache brune se tiennent dans une plaine devant un arbre déraciné.,Une vache noire et une vache brune devant un petit bosquet d'arbres dans un champ.,4.199999809265137,train
Bus rouge à deux étages descendant la rue.,Un bus à deux étages dans une rue de la ville.,3.5999999046325684,train
Vache brune avec des étiquettes d'oreille sur un champ herbeux.,Personne dans un champ herbeux s'occupant de moutons.,1.2000000476837158,train
Gros plan sur l'avant d'une moto violette et blanche.,Gros plan de l'arrière d'une voiture de sport rouge.,1.2000000476837158,train
Deux femmes font des achats dans un magasin de vêtements.,Deux femmes dans un magasin de vêtements.,4.599999904632568,train
Un groupe de personnes assises à la table d'un restaurant.,Groupe de personnes assises à la table d'un restaurant.,4.599999904632568,train
Gros plan sur la tête d'un cheval brun.,Gros plan d'un bus scolaire jaune.,0.0,train
Une personne avec un bonnet rouge se tenant à côté d'une poutre de soutien en brique.,Un cheval brun est debout sur l'herbe et les broussailles.,0.0,train
Un poulain bai marche à côté de sa mère dans un champ herbeux.,Gros plan d'un jeune cheval marchant à côté d'un cheval plus grand.,2.5999999046325684,train
Une femme debout à côté d'une vache brune.,Une femme à lunettes se tient à côté d'une vache dans un champ.,3.799999952316284,train
Un chien sort de l'arrière d'un camion.,Un chien sort de l'arrière d'une camionnette.,3.5999999046325684,train
Femme en robe de travail bleue coupant dans la nourriture.,Une femme en robe bleue coupe un gâteau.,3.799999952316284,train
Le chat noir et blanc regarde la caméra.,"Un chat gris, noir et blanc qui regarde la caméra.",3.5999999046325684,train
Deux filles brunes sont assises sur une moto rouge et jaune avec un side-car.,Un couple pose sur une moto rouge et jaune.,3.200000047683716,train
Un petit chat blanc debout dans un évier.,Chat gris et blanc assis dans le lavabo de la salle de bain.,3.5999999046325684,train
Un homme sur la banquette arrière d'un tandem rouge.,Un homme est seul à l'arrière d'un tandem.,3.5999999046325684,train
Un ordinateur sur un bureau.,Un ordinateur fonctionnant sur un bureau.,4.0,train
Un petit enfant souriant à la caméra.,Un petit enfant est assis sur un mur de ciment près d'une fleur blanche.,1.600000023841858,train
Un petit oiseau qui flotte dans l'eau.,Un canard qui flotte dans l'eau.,2.4000000953674316,train
Un bus blanc avec le mot Julia est près de l'eau et d'un grand bateau.,Un bus blanc avec de l'eau et une barge en arrière-plan.,3.799999952316284,train
Vieux train bleu et blanc sur les rails.,Un train bleu dans une région montagneuse.,2.5999999046325684,train
Bateau jaune sur une plage.,Un bateau jaune sur le rivage.,4.0,train
Un cuisinier avec des papiers posés sur la table à manger habillée de bleu.,Une petite cuisine et une table encombrée avec une nappe bleue.,3.4000000953674316,train
Train dans une gare.,Trains à l'intérieur d'une gare intérieure.,3.799999952316284,train
Un chat gris est assis sur le rebord de la fenêtre et regarde la caméra.,Le chat est debout sur le rebord de la fenêtre et regarde la caméra.,4.0,train
Un homme joue de la guitare tout en étant assis.,Un bus rouge et blanc qui descend la route.,0.0,train
Bus rouge à deux étages descendant une rue.,Un bus à deux étages dans une rue de la ville.,4.199999809265137,train
Trois vaches paissent dans un champ herbeux.,Trois vaches qui paissent dans un champ.,4.599999904632568,train
Le train brun est assis sur la voie ferrée.,Le train blanc est assis sur les rails.,2.25,train
Une vache à cornes noires et blanches debout dans un champ.,Une photo en noir et blanc d'un chat assis sur un canapé.,0.4000000059604645,train
Une petite enfant blonde en robe bleue est assise sur une table près de sa mère.,Une jeune fille blonde portant un casque est assise avec un vélo rouge derrière elle.,1.600000023841858,train
Un groupe de personnes assises à la table d'un restaurant.,Un groupe de personnes assises autour d'une table sous un porche.,2.5999999046325684,train
Une vache en noir et blanc dans un enclos avec du foin.,Un chat noir et blanc gît dans la terre.,0.4000000059604645,train
Un bus rouge à deux étages.,Avant et côté gauche d'un autobus rouge à deux étages.,3.200000047683716,train
Une vue rapprochée de la tête d'un cheval.,Vue de côté de la tête d'un cheval.,3.200000047683716,train
Un vieux voilier en bois dans l'océan.,Un yacht en bois sur l'océan.,3.200000047683716,train
Un mouton dans une région montagneuse.,Un gros mouton sur une colline.,4.400000095367432,train
Un avion blanc sur la piste.,Un avion blanc est sur une piste.,4.800000190734863,train
Un chiot bronzé qui se fait caresser.,Un chiot bronzé est tenu et caressé.,4.400000095367432,train
Élégante salle à manger avec des meubles en bois.,Une élégante salle à manger rose avec des meubles en bois.,3.799999952316284,train
Une femme allongée sur deux hommes assis sur un canapé.,Deux hommes en short sont assis sur un canapé.,2.0,train
deux motos sur un chemin de terre.,Deux cyclistes en terre battue sur une colline de terre battue.,3.5999999046325684,train
Le chat noir et blanc regarde la caméra.,Un chien en noir et blanc qui regarde la caméra.,2.200000047683716,train
Un chat gris aux yeux verts regarde la caméra.,Un chat gris aux yeux verts qui regarde dans la caméra.,5.0,train
Deux agneaux se tiennent sur une colline herbeuse.,Deux cyclistes en terre battue sur une colline de terre battue.,0.20000000298023224,train
Un homme en blanc avec une bouteille de vin et une femme en col roulé rouge avec un gilet blanc.,Un homme et une femme posant sur un champ avec une bouteille de vin.,3.0,train
Une vache solitaire est assise dans le froid de la cour.,une vache noire et blanche debout dans le champ.,1.7999999523162842,train
Un bus à deux étages circule dans une rue de la ville.,Un bus rouge à deux étages descendant une rue.,3.5999999046325684,train
Grand chat noir et blanc reposant sur un rebord de fenêtre.,Un petit chat blanc assis dans un évier.,1.7999999523162842,train
Un garçon nourrissant un mouton.,Un garçon qui donne du foin à un mouton.,4.199999809265137,train
Une jeune fille dans un bureau noir tient une boîte ouverte de Corn Flakes et un carton de lait.,Une fille portant un short et des bottes noires se tient à côté d'une moto bleue.,0.0,train
un gros plan d'un petit cactus dans un pot.,un gros plan d'une femme tenant un chiot blanc.,0.800000011920929,train
Le mouton blanc se tient sur la colline verte.,Un mouton se tient sur une colline.,4.0,train
Un oiseau noir et blanc sur un plan d'eau avec de l'herbe en arrière-plan.,Un bus se trouve sur une route avec une grande roue en arrière-plan.,0.0,train
Un vélo en bois avec un auvent.,Un groupe de personnes âgées assises autour d'une table à manger.,0.0,train
Une photo en noir et blanc d'une clôture en bois délabrée.,Une photo en noir et blanc d'une vieille clôture en bois près d'une rue sale.,4.5,train
Deux chevaux bruns dans une prairie verte.,Un cheval brun se tient dans l'herbe haute.,2.5999999046325684,train
Deux hommes portant des casques de vélo.,Deux hommes se tiennent avec leurs vélos devant un magasin.,1.600000023841858,train
Un homme qui joue à un jeu vidéo dans un magasin.,Homme jouant à un jeu dans un magasin.,3.4000000953674316,train
Un groupe de personnes assises autour d'une table sous un porche.,Un groupe de personnes assises autour d'une table avec de la nourriture dessus.,3.5999999046325684,train
Une jeune fille portant un casque de vélo avec un vélo en arrière-plan.,Une femme tient un petit chien en laisse avec des chaises en arrière-plan.,0.0,train
le dos d'un panneau stop avec de nombreux autocollants.,Le dos du panneau stop est orné d'autocollants.,5.0,train
Un vélo est garé devant une librairie.,Un vélo vert garé devant une librairie.,4.0,train
un bus d'excursion brun à deux étages dans une rue avec une grande roue derrière.,Un bus à deux étages qui roule devant une grande roue.,4.400000095367432,train
Une chaise noire et blanche assise devant un mur de briques et une fenêtre avec un bambou dans un vase.,Un mouton à tête noire recouvert d'une épaisse laine blanche se tient dans un pâturage avec d'autres moutons.,0.6000000238418579,train
Un homme en uniforme noir sur un cheval blanc.,Un homme en smoking sur un cheval blanc.,3.5999999046325684,train
Deux femmes se tiennent dans un salon avec un chien noir.,Deux femmes se tiennent dans un salon avec un chien noir qui regarde vers la caméra.,4.0,train
Deux personnes pagayant dans un canoë rouge se reflètent dans l'eau calme.,Deux personnes pagayant dans un canoë rouge avec des arbres en arrière-plan.,3.200000047683716,train
Vue rapprochée des phares d'une voiture ancienne bleue.,Gros plan sur les phares d'une voiture bleue.,4.0,train
Voitures circulant près d'un bâtiment modèle.,Véhicules conduisant le bébé d'un bâtiment orné.,2.4000000953674316,train
Un avion bleu et orange qui vole avec son train d'atterrissage sorti.,Un avion rouge et bleu volant avec ses trains d'atterrissage baissés.,2.5999999046325684,train
Un chat noir et blanc couché sur une couverture.,Un chat noir et blanc dort sur une couverture violette.,4.0,train
Un bâtiment avec un panneau temporaire au-dessus de l'entrée de son parking.,Route avec l'image arrière des feux arrière d'un bus.,0.20000000298023224,train
Un groupe de personnes assises autour d'une table contenant de la nourriture.,Un groupe de personnes assises autour d'une table sous un porche.,3.4000000953674316,train
Un homme et des femmes assis sur un canapé et tenant un petit bébé.,une femme assise sur un canapé et tenant un bébé.,3.200000047683716,train
Un chat noir et blanc couché sur une couverture.,Un chat noir et blanc dormant sur le côté sur une couverture violette.,3.0,train
Une photo en noir et blanc d'un siège d'amour.,Une photo en noir et blanc d'un vélo.,1.7999999523162842,train
Un salon avec une table à manger en arrière-plan.,Vue d'une salle de séjour avec une salle à manger en arrière-plan.,4.199999809265137,train
Un train rouge et gris passe dans un tunnel.,Un train rouge et gris circule dans un tunnel au milieu des arbres.,4.25,train
Bus rouge à deux étages avec capot ouvert.,Un vieux bus rouge à deux étages de Londres avec son capot surélevé.,4.199999809265137,train
Un homme monté sur un cheval blanc.,Une femme à la tête d'un cheval blanc.,1.7999999523162842,train
Vue d'une salle de séjour avec une salle à manger en arrière-plan.,Un salon avec de grands canapés et une table à manger en arrière-plan.,3.799999952316284,train
Un chaton orange est allongé sur un canapé en cuir.,Jeune couple assis sur un canapé noir.,0.800000011920929,train
Une personne portant un casque de vélo parle sur un téléphone portable.,Une personne portant un casque fait du vélo près d'une structure blanche.,3.0,train
Une rame de métro qui s'arrête à la station.,Un train blanc s'arrête dans une gare.,3.5999999046325684,train
Un vélo est garé près d'un magasin.,Un vélo vert garé devant une librairie.,3.799999952316284,train
Deux hommes debout sur la plage.,Deux femmes debout devant le bus de tourisme.,0.0,train
"Chien noir à poil long, debout dans un champ herbeux.",Un geai bleu debout dans un champ herbeux.,1.399999976158142,train
Un petit bureau avec une chaise près d'un placard à linge.,"Une pièce aux murs bronzés, avec une laveuse et une sécheuse.",0.20000000298023224,train
Bus rouge à deux étages circulant dans les rues.,Bus rouge à deux étages descendant une rue.,4.599999904632568,train
Une oie battant des ailes dans un plan d'eau.,Un cygne noir battant des ailes sur l'eau.,3.0,train
Garçon allongé sur le canapé avec un chien.,Le garçon est allongé sur un canapé avec un chiot.,4.400000095367432,train
Une image en noir et blanc d'un chat couché sur un tapis.,Image en noir et blanc d'un chat couché sur un tapis.,5.0,train
Un grand jet au sol à l'aéroport.,Un gros avion garé à l'aéroport la nuit.,3.5999999046325684,train
Deux femmes sont assises dans un café.,Deux hommes attrapent un poisson dans un marais.,0.0,train
Huit bouteilles de Harp lager alignées sur le sol.,Huit bouteilles de bière Harp alignées sur un plancher de bois.,4.0,train
Un petit enfant souriant à la caméra.,Un chat qui regarde la caméra.,1.399999976158142,train
Une femme sur un cheval brun.,Personne habillée en bleu et montant un cheval brun.,2.5999999046325684,train
photo d'un écran de télévision montrant un film.,La télévision à écran plat murale diffuse un film.,3.200000047683716,train
Un oiseau perché sur un pot de fleurs.,Oiseau perché sur un pot de fleurs à côté d'un mur en stuc.,4.199999809265137,train
Chat blanc assis dans un évier.,Chat gris et blanc assis dans le lavabo de la salle de bain.,3.4000000953674316,train
Jeune femme en tenue d'équitation sur le dessus du cheval.,Jeune fille en tenue d'équitation sur un cheval.,4.400000095367432,train
Deux personnes naviguent sur un petit bateau.,Deux femmes dans un voilier.,3.799999952316284,train
Un petit oiseau sur une petite branche.,Un petit oiseau perché sur une branche glacée.,3.0,train
Deux animaux assis sur un rocher.,Deux aigles assis sur une longue branche.,1.600000023841858,train
Deux chats sont assis au fond d'un canapé et regardent par la fenêtre.,Deux chats sont assis sur le dos d'un canapé et regardent par la fenêtre une photo de mer.,4.199999809265137,train
Deux jeunes femmes tondent un mouton.,Deux femmes tondant un mouton.,4.400000095367432,train
Le jeune cavalier fait une promenade sur le cheval brun.,Une jeune cavalière sur un cheval brun.,3.799999952316284,train
Six personnes sont assises à une table de restaurant et regardent la caméra.,Un groupe de personnes assises à la table d'un restaurant.,3.0,train
Petit agneau blanc avec le nez au bois.,Un agneau blanc avec son nez contre une boîte en bois.,3.799999952316284,train
Une jeune fille sur un cheval blanc et gris.,une petite fille monte un cheval blanc et gris.,4.599999904632568,train
Un chien noir se tient à côté de matériaux sur un chantier de construction.,Un chien noir debout dans une pièce en construction.,3.200000047683716,train
Un oiseau bat des ailes dans l'eau.,Un cygne noir battant des ailes sur l'eau.,3.5999999046325684,train
Un chat noir et blanc couché sur une couverture.,Un chat noir et blanc couché sur un lit de chat.,3.75,train
Jeune femme en tenue d'équitation sur le dessus du cheval.,La femme monte sur le cheval brun.,3.799999952316284,train
Un avion en cours de préparation pour le décollage.,Un petit avion à turbopropulseur en cours de chargement sur le tarmac.,3.4000000953674316,train
Un canapé en cuir blanc avec un sac à main et une couverture dessus.,Une télévision avec une émission en cours.,0.0,train
Une cuisine avec des armoires et des meubles en bois.,Cuisine avec table et armoires en bois.,4.199999809265137,train
Le chat s'attaque à un balai en épluchure de maïs.,Chat gris et blanc assis dans le lavabo de la salle de bain.,0.800000011920929,train
Un couple tient un bébé.,Couple avec un nouveau-né.,4.199999809265137,train
Un petit oiseau qui mange dans la mangeoire.,Oiseau se nourrissant d'une mangeoire à oiseaux.,4.25,train
Gros plan d'un mouton blanc à tête noire.,Gros plan d'un mouton à tête noire.,4.0,train
Un jeune garçon allongé sur un canapé avec un chien.,Un petit garçon allongé sur un canapé avec un chien.,5.0,train
Un oiseau rouge est perché dans un arbre.,Un petit oiseau rouge et gris perché dans un arbre.,3.200000047683716,train
Deux bus garés dans une rue.,Scooter jaune garé dans une ruelle.,0.4000000059604645,train
Un chien en noir et blanc qui regarde la caméra.,"Un chat gris, noir et blanc qui regarde la caméra.",1.0,train
Un train est sur la voie ferrée.,Un train sur les rails.,4.800000190734863,train
Grand moteur de locomotive en argent dans un hangar.,Gros plan d'une locomotive de train argentée avec une bande rouge.,3.0,train
Une femme assise à une table et buvant avec une photo de basket en arrière-plan.,Une femme en sari boit quelque chose tout en étant assise à une table.,2.5999999046325684,train
Une machine à vapeur verte qui circule sur les voies ferrées.,Un train à vapeur noir circulant sur les voies ferrées.,3.0,train
Une petite voiture rouge sur le toit d'un semi-remorque.,Voiture de sport rouge sur le toit d'un semi-remorque blanc.,4.0,train
L'homme pose pour une photo devant le train.,Un homme se tient sur un quai devant un train d'argent.,3.4000000953674316,train
Un cycliste en noir sur un vélo de course noir et rouge.,Un cycliste en lires noires et blanches passe à toute vitesse devant les spectateurs.,3.4000000953674316,train
Un évier et un comptoir de cuisine avec des bols sur des étagères.,Une petite cuisine avec des objets empilés sur les étagères et sur le comptoir.,3.799999952316284,train
Une télévision dans une pièce en désordre avec plusieurs bibliothèques.,"Une pièce avec une télévision, une stéréo et une bibliothèque.",3.200000047683716,train
Un chat noir et blanc dormant sur le côté sur une couverture violette.,Un chat noir et blanc allongé sur le sol au soleil.,2.799999952316284,train
Une femme à vélo sur une grande surface en béton.,Une femme qui fait du VTT sur une grande surface en béton.,3.799999952316284,train
Deux vaches debout dans un grand champ.,La vache est en train de paître dans un champ.,2.799999952316284,train
Un homme chauve touche le nez d'un cheval noir de l'autre côté d'une clôture.,Un homme chauve avec une barbe se sert du nez d'un cheval noir et blanc à la clôture.,3.4000000953674316,train
Un homme se tient à côté d'une voiture de sport jaune.,Un homme se tient à côté d'une Corvette jaune.,4.0,train
une photo en noir et blanc de vaches dans leurs stalles.,Une photo en noir et blanc de bétail dans une auge.,3.200000047683716,train
Bus à deux étages avec la grande roue du London Eye en arrière-plan.,un bus d'excursion brun à deux étages dans une rue avec une grande roue derrière.,4.199999809265137,train
Un oiseau jaune et noir mange dans une mangeoire à oiseaux.,Une volée d'oiseaux qui survolent un plan d'eau.,0.6000000238418579,train
Un homme se tient devant un train.,Un homme se tient sur un quai devant un train d'argent.,3.799999952316284,train
Un petit avion garé sur un terrain d'aviation avec un ciel nuageux au-dessus de la tête.,Un petit avion blanc garé dans un aéroport par une journée nuageuse.,4.599999904632568,train
Un bateau est sur l'eau près d'un petit avion.,Un bateau est à l'eau et un petit avion est sur le quai.,3.4000000953674316,train
Un homme monté sur un cheval blanc dans une arène.,Un animal domestique se tient dans un enclos.,0.6000000238418579,train
Un ordinateur Macintosh posé sur le sol.,un ordinateur sur le sol.,4.199999809265137,train
Un chat noir et blanc est assis sur une chaise marron et regarde vers le haut.,Un chien assis sur une chaise jaune à côté d'une benne à ordures verte.,0.4000000059604645,train
des moutons dans les champs.,Un grand chien se tient à côté d'un mouton dans un champ.,2.799999952316284,train
Groupe de personnes âgées assises autour d'une table.,Un groupe de personnes âgées pose autour d'une table à manger.,3.4000000953674316,train
Trois femmes aux cheveux bruns sourient.,Trois femmes en robe indienne dans une salle bondée en souriant.,2.799999952316284,train
Une photo en noir et blanc d'une gare vide.,Une photo en noir et blanc d'un chat assis sur un canapé.,1.600000023841858,train
Deux chiens dans un chenil clôturé regardent devant eux.,Deux filles sur un gars qui pose à l'avant d'un bateau.,0.0,train
Une vache en noir et blanc regarde à travers la clôture.,Un chat noir et blanc allongé sur le sol au soleil.,0.6000000238418579,train
Plusieurs personnes à moto sur une place de marché.,Les gens conduisent des cyclomoteurs dans un cadre urbain.,1.7999999523162842,train
Gros plan d'un mouton dans l'herbe.,"Gros plan d'un agneau à l'oreille marquée, debout sur l'herbe.",1.7999999523162842,train
Chat domestique couché sur le dos d'une litière pour chat.,Chat domestique fauve sous une bâche noire.,2.0,train
Deux oiseaux verts s'envolent vers un poteau téléphonique en bois.,Deux oiseaux verts qui volent au-dessus des fils téléphoniques.,3.200000047683716,train
Une personne assise sur une moto alors qu'un homme se tient prêt.,Un homme se tient à côté d'un homme casqué sur une moto dans un parking vide.,3.0,train
Trois vaches qui paissent dans un champ.,Deux vaches broutent dans un champ.,2.5999999046325684,train
Un oiseau bleu perché sur une main gantée.,Un oiseau est perché sur la main gantée d'une personne.,4.400000095367432,train
Un bébé tient un paquet de ketchup.,Un bébé dans une chaise haute tient un paquet de ketchup.,4.0,train
Une vue rapprochée de la tête d'un cheval.,Gros plan sur la tête d'un cheval brun.,4.199999809265137,train
Un train se trouve dans une gare.,un train dans une gare.,5.0,train
Un cheval brun foncé debout dans un champ.,Cheval debout dans un champ.,3.5999999046325684,train
Un petit chat allongé sur une poutre en bois regarde la caméra.,Le petit chien porte un pull et regarde la caméra.,0.800000011920929,train
L'oiseau noir est assis sur le sol.,L'oiseau est assis sur la branche.,2.5,train
Un petit oiseau brun se nourrit dans une mangeoire suspendue à un arbre.,Un petit oiseau rouge et gris perché dans un arbre.,2.0,train
Une paire de chiens jouant avec une balle violette.,Deux chiens jouent au football violet.,4.400000095367432,train
un oiseau se pose dans l'eau.,un bateau flotte dans l'eau.,0.6000000238418579,train
Trois enfants se tiennent sur ou près d'une clôture.,Les trois enfants sont debout sur et près d'une clôture.,4.599999904632568,train
Un chien noir émerge de l'eau avec une boule blanche dans la gueule.,un chien noir qui sort de l'eau avec une boule blanche dans la gueule.,4.800000190734863,train
Une fille en chemise violette et bandeau rose pose,Une jeune fille portant un chapeau et un blue-jean est sur une balançoire.,0.4000000059604645,train
Un chien brun qui creuse un trou devant une plante,Un groupe de personnes marchant sur le côté d'une voie ferrée.,0.0,train
Le chien brun et blanc nage dans une piscine.,Un chien brun et blanc nage dans une piscine de jardin.,4.599999904632568,train
Un garçon dans un traîneau rouge descend la colline.,"Un chien multicolore au collier rouge, accroupi dans l'herbe.",0.0,train
Un chien noir et brun court dans les bois.,Un chien qui court dans les bois.,4.0,train
Les deux chiens courent sur l'herbe.,Deux chiens jouent dans l'herbe.,4.400000095367432,train
Une jeune fille brandit un signe de paix.,Une petite fille s'accroche à un poteau dans une rue de la ville.,0.6000000238418579,train
Un homme est suspendu par une corde à une falaise au-dessus de l'eau.,Homme assis seul sur un quai avec une bouteille d'eau.,0.6000000238418579,train
Un homme accroupi et tenant un appareil photo.,L'homme accroupi tient une grande caméra.,4.599999904632568,train
Un homme à vélo sur un chemin étroit.,Un homme en monocycle sur une route pavée,2.5999999046325684,train
Un homme portant un manteau orange parle à un autre homme alors qu'ils marchent dans la neige.,Un homme et une femme habillés à l'ancienne sont assis à une table à l'extérieur.,0.6000000238418579,train
Un chien saute en l'air pour attraper un jouet.,Un chien noir saute en l'air pour attraper un jouet.,4.0,train
Un chien brun couché sur une couverture bleue.,Une personne plonge dans une eau bleue et limpide.,0.0,train
Les deux garçons jouent sur le terrain.,Les deux personnes ont la tête couverte de foulards.,0.0,train
Les deux chiens courent dans l'herbe.,Trois chiens courent dans la neige.,2.200000047683716,train
Un garçon avec un bras cassé se repose dans un lit.,Un garçon avec un bras cassé dort.,4.0,train
